id,fetched_at,name,album_type,available_markets_rowid,external_id_upc,copyright_c,copyright_p,label,popularity,release_date,release_date_precision,total_tracks
5ppnlEoj4HdRRdRihnY3jU,2025-03-13 00:00:00.000000 +00:00,"Oral Fixation, Vol. 2 (Expanded Edition)",album,3,828768158524,,(P) 2005 Sony Music Entertainment (Holland) B.V.,Epic,74,2005-11-28,day,13
0XA403JTounqFh2owquBXu,2025-03-13 00:00:00.000000 +00:00,Diet Pepsi,single,3,196872309959,,"(P) 2024 Columbia Records, a Division of Sony Music Entertainment, under exclusive license from As Long As I'm Dancing LLC",Columbia,73,2024-08-09,day,1
6s84u2TUpR3wdUv4NgKA2j,2025-03-13 00:00:00.000000 +00:00,SOUR,album,8,00602438250431,"© 2021 Olivia Rodrigo, under exclusive license to Geffen Records","℗ 2021 Olivia Rodrigo, under exclusive license to Geffen Records",Olivia Rodrigo PS,87,2021-05-21,day,11
6rePArBMb5nLWEaY9aQqL4,2025-03-13 00:00:00.000000 +00:00,The Fame Monster (Deluxe Edition),album,2,00602508223051,"© 2009 UMG Recordings, Inc.","℗ 2009 UMG Recordings, Inc.",Interscope,77,2009-11-05,day,23
1BaHo66NCQNx6ku0hPn9bR,2025-03-13 00:00:00.000000 +00:00,TOO YOUNG TO BE SAD,single,3,886449049561,,"(P) 2021 RCA Records, a division of Sony Music Entertainment",RCA Records Label,74,2021-03-26,day,6
6fpLLJsDSSAlToEDW2jv4F,2025-03-13 00:00:00.000000 +00:00,Animal (Expanded Edition),album,3,884977451856,,"(P) 2010 RCA Records, a division of Sony Music Entertainment",RCA Records Label,76,2010-01-01,day,18
15yvc643iYfQtb6zh9NEJo,2025-03-13 00:00:00.000000 +00:00,61207468-6f75-7361-6e64-207965617273,single,3,075679965912,"© 2011 TM & 2011 Summit Entertainment, LLC. All rights reserved.",℗ 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,41746c61-6e74-6963-2052-65636f726473,73,2011-10-18,day,1
21jF5jlMtzo94wbxmJ18aa,2025-03-13 00:00:00.000000 +00:00,30,album,3,886449666447,,"(P) 2021 Melted Stone under exclusive license to Columbia Records, a Division of Sony Music Entertainment",Columbia,77,2021-11-19,day,12
07w0rG5TETcyihsEIZR3qG,2025-03-13 00:00:00.000000 +00:00,SOS,album,3,196589564931,,"(P) 2022 Top Dawg Entertainment, under exclusive license to RCA Records",Top Dawg Entertainment/RCA Records,87,2022-12-09,day,23
4sLtOBOzn4s3GDUv3c5oJD,2025-03-13 00:00:00.000000 +00:00,A Star Is Born Soundtrack,album,9,00602567780861,"© 2018 Interscope Records, Motion Picture Artwork © 2018 Warner Bros. Entertainment Inc. Motion Picture Photography © 2018 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Inc.,",℗ 2018 Interscope Records,A Star is Born OST,76,2018-10-05,day,34
0z7pVBGOD7HCIB7S8eLkLI,2025-03-13 00:00:00.000000 +00:00,In The Zone,album,3,828765374828,,(P) 2003 Zomba Recording LLC,Jive,73,2003-11-13,day,13
2fenSS68JI1h4Fo296JfGr,2025-03-13 00:00:00.000000 +00:00,folklore,album,8,00602435037943,© 2020 Taylor Swift,℗ 2020 Taylor Swift,Taylor Swift,84,2020-07-24,day,16
0EiI8ylL0FmWWpgHVTsZjZ,2025-03-13 00:00:00.000000 +00:00,The Rise and Fall of a Midwest Princess,album,2,00602458311679,"© 2023 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.","℗ 2023 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.",Chappell Roan PS/ Island,87,2023-09-22,day,14
3zXjR3y2dUWklKmmp6lEhy,2025-03-13 00:00:00.000000 +00:00,Let Go,album,3,888880191069,,"(P) 2002 Arista Records, LLC",Arista,76,2002-06-04,day,13
3JSWZWeTHF4HDGt5Eozdy7,2025-03-13 00:00:00.000000 +00:00,Good Girl Gone Bad: Reloaded,album,8,00602517721425,© 2008 The Island Def Jam Music Group,℗ 2008 The Island Def Jam Music Group,Def Jam Recordings,83,2008-06-02,day,15
1xJHno7SmdVtZAtXbdbDZp,2025-03-13 00:00:00.000000 +00:00,GUTS,album,2,00602458374483,"© 2023 Olivia Rodrigo, under exclusive license to Geffen Records","℗ 2023 Olivia Rodrigo, under exclusive license to Geffen Records",Olivia Rodrigo PS,83,2023-09-08,day,12
1nAQbHeOWTfQzbOoFrvndW,2025-03-13 00:00:00.000000 +00:00,Planet Her,album,3,886449138852,,(P) 2021 Kemosabe Records/RCA Records,Kemosabe Records/RCA Records,82,2021-06-25,day,14
5kDmlA2g9Y1YCbNo2Ufxlz,2025-03-13 00:00:00.000000 +00:00,emails i can't send,album,2,00602448142689,"© 2022 Island Records, a division of UMG Recordings, Inc.","℗ 2022 Island Records, a division of UMG Recordings, Inc.",Island Records,80,2022-07-15,day,13
6DEjYFkNZh67HP7R9PSZvv,2025-03-13 00:00:00.000000 +00:00,reputation,album,8,00843930033140,© 2017 Apollo A-1 LLC,℗ 2017 Apollo A-1 LLC,"Big Machine Records, LLC",84,2017-11-10,day,15
3WNxdumkSMGMJRhEgK80qx,2025-03-13 00:00:00.000000 +00:00,...Baby One More Time (Digital Deluxe Version),album,3,888880423368,,(P) 1999 Zomba Recording LLC,Jive,73,1999-01-12,day,16
68enXe5XcJdciSDAZr0Alr,2025-03-13 00:00:00.000000 +00:00,Manic,album,10,00602508581410,"© 2020 Capitol Records, LLC","℗ 2020 Capitol Records, LLC",Capitol Records,73,2020-01-17,day,16
2lIZef4lzdvZkiiCzvPKj7,2025-03-13 00:00:00.000000 +00:00,BRAT,album,4,075679666130,© 2024 Atlantic Recording Corporation,℗ 2024 Atlantic Recording Corporation,41746c61-6e74-6963-2052-65636f726473,82,2024-06-07,day,15
5YLRVHDVRw3QqWbeTGpC5B,2025-03-13 00:00:00.000000 +00:00,So Good,album,11,886446183473,,"(P) 2017 Record Company TEN, exclusively licensed by Epic Records, a division of Sony Music Entertainment",Epic/Record Company TEN,73,2017-03-17,day,15
2MHUaRi9OCyTN02SoyRRBJ,2025-03-13 00:00:00.000000 +00:00,MAYHEM,album,2,00602475450900,© 2024 Interscope Records,℗ 2024 Interscope Records,Interscope Records,88,2025-03-07,day,14
151w1FgRZfnKZA9FEcg9Z3,2025-03-13 00:00:00.000000 +00:00,Midnights,album,2,00602448705952,© 2022 Taylor Swift,℗ 2022 Taylor Swift,Taylor Swift,81,2022-10-21,day,13
5Vdzprr5cOqXQo44eHeV7t,2025-03-13 00:00:00.000000 +00:00,Whitney,album,3,886444538367,,(P) 1987 Arista Records LLC,Arista/Legacy,72,1987-06-02,day,11
